age_group,year,mortality_rate,data,exp_life_span
35-39,1961,0.0013057104236813837,projected,765.8665978789932
35-39,1962,0.0012975943816229466,projected,770.6568509870281
35-39,1963,0.0012895287873035332,projected,775.4770656117327
35-39,1964,0.0012815133271498087,projected,780.3274291529082
35-39,1965,0.0012735476895375517,projected,785.2081301824811
35-39,1966,0.0012656315647795293,projected,790.11935845184
35-39,1967,0.0012577646451134713,projected,795.0613048992034
35-39,1968,0.0012499466246900953,projected,800.0341616570503
35-39,1969,0.0012421771995612186,projected,805.0381220595868
35-39,1970,0.0012344560676679438,projected,810.0733806502622
35-39,1971,0.0012267829288289064,projected,815.1401331893372
35-39,1972,0.0012191574847286166,projected,820.2385766614877
35-39,1973,0.0012115794389058545,projected,825.3689092834669
35-39,1974,0.0012040484967421447,projected,830.5313305118116
35-39,1975,0.0011965643654503035,projected,835.7260410505954
35-39,1976,0.0011891267540630572,projected,840.9532428592316
35-39,1977,0.0011817353734217217,projected,846.2131391603301
35-39,1978,0.0011743899361649735,projected,851.5059344475889
35-39,1979,0.0011670901567176694,projected,856.831834493751
35-39,1980,0.0011598357512797453,projected,862.191046358603
35-39,2015,9.324369525801595e-4,projected,1072.4585691642592
35-39,2016,9.266411058236906e-4,projected,1079.1664579903356
35-39,2017,9.20881284923481e-4,projected,1085.916302537404
35-39,2018,9.151572659498144e-4,projected,1092.708365225216
35-39,2019,9.094688263648798e-4,projected,1099.5429101148752
35-39,2020,9.038157450141132e-4,projected,1106.420202919108
35-39,2021,8.981978021176092e-4,projected,1113.3405110125852
35-39,2022,8.926147792615697e-4,projected,1120.3041034423231
35-39,2023,8.870664593898144e-4,projected,1127.3112509381417
35-39,2024,8.815526267953437e-4,projected,1134.3622259231886
35-39,2025,8.76073067111946e-4,projected,1141.4573025245375
35-39,2026,8.70627567305873e-4,projected,1148.5967565838348
35-39,2027,8.652159156675512e-4,projected,1155.7808656680304
35-39,2028,8.598379018033527e-4,projected,1163.0099090801684
35-39,2029,8.544933166274155e-4,projected,1170.2841678702441
35-39,2030,8.49181952353516e-4,projected,1177.6039248461302
35-39,2031,8.439036024869849e-4,projected,1184.969464584579
35-39,2032,8.386580618166883e-4,projected,1192.3810734422743
35-39,2033,8.334451264070431e-4,projected,1199.839039566972
35-39,2034,8.282645935900902e-4,projected,1207.343652908701
35-39,2035,8.231162619576164e-4,projected,1214.895205231034
35-39,2036,8.179999313533188e-4,projected,1222.493990122439
35-39,2037,8.129154028650311e-4,projected,1230.1403030076804
35-39,2038,8.078624788169853e-4,projected,1237.8344411593125
35-39,2039,8.02840962762127e-4,projected,1245.5767037092364
